dise_name	orpha_id
Absence of fingerprints-congenital milia syndrome	ORPHA:1658
Restrictive dermopathy	ORPHA:1662
Palmoplantar keratoderma, Nagashima type	ORPHA:140966
Focal facial dermal dysplasia type III	ORPHA:1807
Focal dermal hypoplasia	ORPHA:2092
Geroderma osteodysplastica	ORPHA:2078
Keratosis follicularis spinulosa decalvans	ORPHA:2340
Haim-Munk syndrome	ORPHA:2342
Non-epidermolytic palmoplantar keratoderma	ORPHA:2337
Keratoderma hereditarium mutilans	ORPHA:494
Ectodermal dysplasia-syndactyly syndrome	ORPHA:247820
Epidermolytic palmoplantar keratoderma	ORPHA:2199
Palmoplantar keratoderma-deafness syndrome	ORPHA:2202
Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome	ORPHA:2698
Papillon-Lefèvre syndrome	ORPHA:678
Multiple benign circumferential skin creases on limbs	ORPHA:2505
Wrinkly skin syndrome	ORPHA:2834
Hereditary acrokeratotic poikiloderma, Weary type	ORPHA:2907
RIN2 syndrome	ORPHA:217335
Rothmund-Thomson syndrome type 2	ORPHA:221016
Hereditary sclerosing poikiloderma with tendon and pulmonary involvement	ORPHA:221043
Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies	ORPHA:221145
Pseudoxanthoma elasticum	ORPHA:758
Familial benign chronic pemphigus	ORPHA:2841
Hypopigmentation-punctate palmoplantar keratoderma syndrome	ORPHA:324561
Severe dermatitis-multiple allergies-metabolic wasting syndrome	ORPHA:369992
Focal palmoplantar keratoderma with joint keratoses	ORPHA:370002
Diffuse palmoplantar keratoderma with painful fissures	ORPHA:369999
Hypohidrosis-enamel hypoplasia-palmoplantar keratoderma-intellectual disability syndrome	ORPHA:363523
Autosomal recessive cutis laxa type 2, classic type	ORPHA:357074
Autosomal recessive cutis laxa type 2B	ORPHA:357064
Corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome	ORPHA:352662
Skin fragility-woolly hair-palmoplantar keratoderma syndrome	ORPHA:293165
Isolated congenital adermatoglyphia	ORPHA:289465
Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome	ORPHA:281201
Erythrokeratodermia variabilis	ORPHA:317
Autosomal dominant focal non-epidermolytic palmoplantar keratoderma with plantar blistering	ORPHA:402003
Focal facial dermal dysplasia type IV	ORPHA:398189
Combined immunodeficiency-enteropathy spectrum	ORPHA:436252
Pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa	ORPHA:436274
Peeling skin-leukonuchia-acral punctate keratoses-cheilitis-knuckle pads syndrome	ORPHA:444138
Woolly hair-palmoplantar keratoderma syndrome	ORPHA:420686
Nail and teeth abnormalities-marginal palmoplantar keratoderma-oral hyperpigmentation syndrome	ORPHA:423454
Porokeratosis of Mibelli	ORPHA:735
Mutilating palmoplantar keratoderma with periorificial keratotic plaques	ORPHA:659
Progressive symmetric erythrokeratodermia	ORPHA:316
CEDNIK syndrome	ORPHA:66631
Disseminated superficial actinic porokeratosis	ORPHA:79152
Acrokeratosis verruciformis of Hopf	ORPHA:79151
Schöpf-Schulz-Passarge syndrome	ORPHA:50944
Striate palmoplantar keratoderma	ORPHA:50942
Autosomal dominant cutis laxa	ORPHA:90348
Autosomal recessive cutis laxa type 1	ORPHA:90349
Mal de Meleda	ORPHA:87503
Keratoderma hereditarium mutilans with ichthyosis	ORPHA:79395
Punctate palmoplantar keratoderma type 1	ORPHA:79501
Lamellar ichthyosis	ORPHA:313
Self-healing collodion baby	ORPHA:281122
Acral self-healing collodion baby	ORPHA:281127
Bathing suit ichthyosis	ORPHA:100976
Epidermolytic ichthyosis	ORPHA:312
Annular epidermolytic ichthyosis	ORPHA:281139
Sporadic porphyria cutanea tarda	ORPHA:443057
Familial porphyria cutanea tarda	ORPHA:443062
Nephrogenic diabetes insipidus	ORPHA:223
Stargardt disease	ORPHA:827
Congenital glaucoma	ORPHA:98976
Axenfeld anomaly	ORPHA:98978
Lennox-Gastaut syndrome	ORPHA:2382
Hereditary central diabetes insipidus	ORPHA:30925
Dubin-Johnson syndrome	ORPHA:234
Rotor syndrome	ORPHA:3111
Hyperkalemic periodic paralysis	ORPHA:682
Hypokalemic periodic paralysis	ORPHA:681
Periodic paralysis with transient compartment-like syndrome	ORPHA:397755
Periodic paralysis with later-onset distal motor neuropathy	ORPHA:397750
Thyrotoxic periodic paralysis	ORPHA:79102
Cardiodysrhythmic potassium-sensitive periodic paralysis	ORPHA:37553
Narcolepsy-cataplexy syndrome	ORPHA:2073
Mild hemophilia A	ORPHA:169808
Severe hemophilia A	ORPHA:169802
Moderately severe hemophilia A	ORPHA:169805
Symptomatic form of hemophilia A in female carriers	ORPHA:177926
Von Willebrand disease type 1	ORPHA:166078
Von Willebrand disease type 2A	ORPHA:166084
Von Willebrand disease type 2M	ORPHA:166090
Von Willebrand disease type 2B	ORPHA:166087
Von Willebrand disease type 2N	ORPHA:166093
Von Willebrand disease type 3	ORPHA:166096
MODY	ORPHA:552
Noonan syndrome	ORPHA:648
Cornelia de Lange syndrome	ORPHA:199
Coffin-Siris syndrome	ORPHA:1465
Aarskog-Scott syndrome	ORPHA:915
Dubowitz syndrome	ORPHA:235
Sjögren-Larsson syndrome	ORPHA:816
Chondrodysplasia-disorder of sex development syndrome	ORPHA:1422
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1	ORPHA:177901
Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2	ORPHA:177904
Prader-Willi syndrome due to translocation	ORPHA:177907
Prader-Willi syndrome due to imprinting mutation	ORPHA:177910
Seckel syndrome	ORPHA:808
Campomelic dysplasia	ORPHA:140
Neurofibromatosis-Noonan syndrome	ORPHA:638
Noonan syndrome with multiple lentigines	ORPHA:500
Boomerang dysplasia	ORPHA:1263
COFS syndrome	ORPHA:1466
Autosomal recessive Robinow syndrome	ORPHA:1507
Craniofrontonasal dysplasia	ORPHA:1520
Glaucoma-ectopia-microspherophakia-stiff joints-short stature syndrome	ORPHA:2084
Sanjad-Sakati syndrome	ORPHA:2323
Noonan syndrome-like disorder with loose anagen hair	ORPHA:2701
Ear-patella-short stature syndrome	ORPHA:2554
MULIBREY nanism	ORPHA:2576
3M syndrome	ORPHA:2616
Geleophysic dysplasia	ORPHA:2623
Langer mesomelic dysplasia	ORPHA:2632
Parastremmatic dwarfism	ORPHA:2646
Osteoglophonic dwarfism	ORPHA:2645
Lenz-Majewski hyperostotic dwarfism	ORPHA:2658
RAPADILINO syndrome	ORPHA:3021
Autosomal dominant Robinow syndrome	ORPHA:3107
SHORT syndrome	ORPHA:3163
Smith-Lemli-Opitz syndrome	ORPHA:818
Xeroderma pigmentosum-Cockayne syndrome complex	ORPHA:220295
Silver-Russell syndrome due to an imprinting defect of 11p15	ORPHA:231140
Silver-Russell syndrome due to 11p15 microduplication	ORPHA:231144
Microcephalic primordial dwarfism due to ZNF335 deficiency	ORPHA:329228
Microcephalic primordial dwarfism, Dauber type	ORPHA:319675
Microcephalic primordial dwarfism, Alazami type	ORPHA:319671
Wiedemann-Steiner syndrome	ORPHA:319182
SHOX-related short stature	ORPHA:314795
Noonan syndrome-like disorder with juvenile myelomonocytic leukemia	ORPHA:363972
Facial dysmorphism-immunodeficiency-livedo-short stature syndrome	ORPHA:352712
Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome	ORPHA:314394
Microcephalic osteodysplastic primordial dwarfism type II	ORPHA:2637
Short stature-optic atrophy-Pelger-Huët anomaly syndrome	ORPHA:391677
Short stature-auditory canal atresia-mandibular hypoplasia-skeletal anomalies syndrome	ORPHA:397623
Silver-Russell syndrome due to a point mutation	ORPHA:397590
Prader-Willi syndrome due to point mutation	ORPHA:398069
Prader-Willi-like syndrome due to point mutation	ORPHA:398079
Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome	ORPHA:436144
Microcephalic primordial dwarfism-insulin resistance syndrome	ORPHA:436182
Trichorhinophalangeal syndrome type 1 and 3	ORPHA:77258
Autosomal dominant Kenny-Caffey syndrome	ORPHA:93325
Autosomal recessive Kenny-Caffey syndrome	ORPHA:93324
IMAGe syndrome	ORPHA:85173
Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
Kallmann syndrome	ORPHA:478
Isolated growth hormone deficiency type IB	ORPHA:231671
Isolated growth hormone deficiency type II	ORPHA:231679
Isolated growth hormone deficiency type IA	ORPHA:231662
Short stature due to growth hormone qualitative anomaly	ORPHA:629
Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia	ORPHA:632
Normosmic congenital hypogonadotropic hypogonadism	ORPHA:432
X-linked intellectual disability with isolated growth hormone deficiency	ORPHA:67045
Panhypopituitarism	ORPHA:90695
Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	ORPHA:752
46,XY disorder of sex development due to testicular 17,20-desmolase deficiency	ORPHA:443087
46,XY disorder of sex development due to isolated 17,20-lyase deficiency	ORPHA:90796
Congenital isolated ACTH deficiency	ORPHA:199296
Isolated follicle stimulating hormone deficiency	ORPHA:52901
Pituitary stalk interruption syndrome	ORPHA:95496
Thomsen and Becker disease	ORPHA:614
46,XX gonadal dysgenesis	ORPHA:243
46,XY complete gonadal dysgenesis	ORPHA:242
46,XX testicular disorder of sex development	ORPHA:393
Primary myelofibrosis	ORPHA:824
Myeloid neoplasm associated with FGFR1 rearrangement	ORPHA:168953
Myeloid neoplasm associated with PDGFRB rearrangement	ORPHA:168950
Myeloid neoplasm associated with PDGFRA rearrangement	ORPHA:168947
Chronic myeloproliferative disease, unclassifiable	ORPHA:86830
Chronic neutrophilic leukemia	ORPHA:86829
Familial multinodular goiter	ORPHA:276399
Short stature-delayed bone age due to thyroid hormone metabolism deficiency	ORPHA:171706
Bamforth-Lazarus syndrome	ORPHA:1226
Brain-lung-thyroid syndrome	ORPHA:209905
Hypothyroidism due to deficient transcription factors involved in pituitary development or function	ORPHA:226307
Isolated thyrotropin-releasing hormone deficiency	ORPHA:238670
X-linked central congenital hypothyroidism with late-onset testicular enlargement	ORPHA:329235
Hypothyroidism due to TSH receptor mutations	ORPHA:90673
Isolated thyroid-stimulating hormone deficiency	ORPHA:90674
Peripheral resistance to thyroid hormones	ORPHA:97927
Familial thyroid dyshormonogenesis	ORPHA:95716
Athyreosis	ORPHA:95713
Thyroid ectopia	ORPHA:95712
Thyroid hypoplasia	ORPHA:95720
Resistance to thyrotropin-releasing hormone syndrome	ORPHA:99832
Genetic transient congenital hypothyroidism	ORPHA:226316
Autoimmune polyendocrinopathy type 1	ORPHA:3453
Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome	ORPHA:37042
Duchenne muscular dystrophy	ORPHA:98896
Malignant hyperthermia of anesthesia	ORPHA:423
Facioscapulohumeral dystrophy	ORPHA:269
Bethlem myopathy	ORPHA:610
X-linked myopathy with postural muscle atrophy	ORPHA:178461
Hereditary proximal myopathy with early respiratory failure	ORPHA:178464
Distal myopathy with anterior tibial onset	ORPHA:178400
Autosomal recessive limb-girdle muscular dystrophy type 2D	ORPHA:62
Oculopharyngeal muscular dystrophy	ORPHA:270
Autosomal recessive limb-girdle muscular dystrophy type 2A	ORPHA:267
Autosomal recessive limb-girdle muscular dystrophy type 2H	ORPHA:1878
Autosomal recessive limb-girdle muscular dystrophy type 2J	ORPHA:140922
Autosomal recessive limb-girdle muscular dystrophy type 2Q	ORPHA:254361
Autosomal recessive limb-girdle muscular dystrophy type 2P	ORPHA:280333
Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers	ORPHA:206546
Autosomal recessive limb-girdle muscular dystrophy type 2M	ORPHA:206554
Autosomal recessive limb-girdle muscular dystrophy type 2L	ORPHA:206549
Autosomal recessive limb-girdle muscular dystrophy type 2O	ORPHA:206564
Autosomal recessive limb-girdle muscular dystrophy type 2N	ORPHA:206559
Adult-onset distal myopathy due to VCP mutation	ORPHA:329478
Autosomal recessive limb-girdle muscular dystrophy type 2S	ORPHA:369840
Intellectual disability-hyperkinetic movement-truncal ataxia syndrome	ORPHA:369847
Autosomal recessive limb-girdle muscular dystrophy type 2R	ORPHA:363543
Autosomal recessive limb-girdle muscular dystrophy type 2U	ORPHA:352479
Progressive scapulohumeroperoneal distal myopathy	ORPHA:447977
Alpha-B crystallin-related late-onset distal myopathy	ORPHA:399058
KLHL9-related early-onset distal myopathy	ORPHA:399081
Nebulin-related early-onset distal myopathy	ORPHA:399103
Distal anoctaminopathy	ORPHA:399096
MYH7-related late-onset scapuloperoneal muscular dystrophy	ORPHA:437572
Limb-girdle muscular dystrophy due to POMK deficiency	ORPHA:445110
Autosomal recessive limb-girdle muscular dystrophy type 2Y	ORPHA:424261
X-linked scapuloperoneal muscular dystrophy	ORPHA:431272
Autosomal dominant limb-girdle muscular dystrophy type 1A	ORPHA:266
Autosomal dominant limb-girdle muscular dystrophy type 1B	ORPHA:264
Autosomal recessive limb-girdle muscular dystrophy type 2C	ORPHA:353
Autosomal recessive limb-girdle muscular dystrophy type 2F	ORPHA:219
Autosomal recessive limb-girdle muscular dystrophy type 2E	ORPHA:119
Distal myopathy, Welander type	ORPHA:603
Congenital muscular dystrophy, Fukuyama type	ORPHA:272
Autosomal dominant limb-girdle muscular dystrophy type 1C	ORPHA:265
Autosomal recessive limb-girdle muscular dystrophy type 2B	ORPHA:268
Distal myopathy with vocal cord weakness	ORPHA:600
Tibial muscular dystrophy	ORPHA:609
Distal myopathy with posterior leg and anterior hand involvement	ORPHA:63273
Laing early-onset distal myopathy	ORPHA:59135
Autosomal dominant limb-girdle muscular dystrophy type 1F	ORPHA:55595
Autosomal dominant limb-girdle muscular dystrophy type 1G	ORPHA:55596
Autosomal recessive limb-girdle muscular dystrophy type 2G	ORPHA:34514
Autosomal recessive limb-girdle muscular dystrophy type 2I	ORPHA:34515
Autosomal dominant limb-girdle muscular dystrophy type 1D	ORPHA:34516
Autosomal dominant limb-girdle muscular dystrophy type 1E	ORPHA:34517
Miyoshi myopathy	ORPHA:45448
Autosomal recessive limb-girdle muscular dystrophy type 2K	ORPHA:86812
Autosomal dominant Emery-Dreifuss muscular dystrophy	ORPHA:98853
X-linked Emery-Dreifuss muscular dystrophy	ORPHA:98863
Autosomal recessive Emery-Dreifuss muscular dystrophy	ORPHA:98855
Becker muscular dystrophy	ORPHA:98895
Idiopathic central precocious puberty	ORPHA:169615
Aromatase excess syndrome	ORPHA:178345
Familial male-limited precocious puberty	ORPHA:3000
Corticosteroid-binding globulin deficiency	ORPHA:199247
Hereditary angioedema type 1	ORPHA:100050
Primary CD59 deficiency	ORPHA:169464
Recurrent Neisseria infections due to factor D deficiency	ORPHA:169467
Immunodeficiency due to a late component of complement deficiency	ORPHA:169150
Immunodeficiency due to a classical component pathway complement deficiency	ORPHA:169147
Immunodeficiency with factor I anomaly	ORPHA:200418
Immunodeficiency with factor H anomaly	ORPHA:200421
Complement component 3 deficiency	ORPHA:280133
Properdin deficiency	ORPHA:2966
Immunodeficiency due to MASP-2 deficiency	ORPHA:331187
Immunodeficiency due to ficolin3 deficiency	ORPHA:331190
C1 inhibitor deficiency	ORPHA:459353
Hereditary angioedema type 3	ORPHA:100054
Hereditary angioedema type 2	ORPHA:100051
Alymphoid cystic thymic dysgenesis	ORPHA:169095
Laron syndrome with immunodeficiency	ORPHA:220465
Poikiloderma with neutropenia	ORPHA:221046
RIDDLE syndrome	ORPHA:420741
Primary immunodeficiency syndrome due to p14 deficiency	ORPHA:90023
Hypohidrotic ectodermal dysplasia with immunodeficiency	ORPHA:98813
Dominant beta-thalassemia	ORPHA:231226
Beta-thalassemia intermedia	ORPHA:231222
Beta-thalassemia major	ORPHA:231214
Congenital factor II deficiency	ORPHA:325
Congenital factor VII deficiency	ORPHA:327
Congenital factor XII deficiency	ORPHA:330
Congenital factor V deficiency	ORPHA:326
Familial hypodysfibrinogenemia	ORPHA:248408
Congenital factor XIII deficiency	ORPHA:331
Hereditary thrombophilia due to congenital protein C deficiency	ORPHA:745
Congenital factor X deficiency	ORPHA:328
East Texas bleeding disorder	ORPHA:391320
Familial dysfibrinogenemia	ORPHA:98881
Familial afibrinogenemia	ORPHA:98880
Hereditary combined deficiency of vitamin K-dependent clotting factors	ORPHA:98434
Familial hypofibrinogenemia	ORPHA:101041
Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency	ORPHA:91135
Benign recurrent intrahepatic cholestasis type 2	ORPHA:99961
Benign recurrent intrahepatic cholestasis type 1	ORPHA:99960
Chronic eosinophilic leukemia	ORPHA:168940
Microvillus inclusion disease	ORPHA:2290
Congenital chronic diarrhea with protein-losing enteropathy	ORPHA:329242
Chronic diarrhea due to guanylate cyclase 2C overactivity	ORPHA:314373
Congenital chloride diarrhea	ORPHA:53689
Congenital tufting enteropathy	ORPHA:92050
Congenital malabsorptive diarrhea due to paucity of enteroendocrine cells	ORPHA:83620
Congenital sodium diarrhea	ORPHA:103908
Nephrogenic syndrome of inappropriate antidiuresis	ORPHA:93606
Acute intermittent porphyria	ORPHA:79276
